Species_DBs	Strain_DBs	Origin DB	Taxonomy ID	Species abb.	Assembly Accession Genbank	FTP path genbank	Assembly Accession RefSeq	FTP path refseq	TaxID refseq	Organism Name Refseq	Infraspecific Name Refseq	version_status_refseq	assembly_level_refseq	seq_rel_date_refseq	Partition	Protein Count	PathoPhenotype
Escherichia coli	E-T172	ENA, NCBI	562.0	E. coli	GCA_021342995.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/342/995/GCA_021342995.1_ASM2134299v1	GCF_021342995.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/342/995/GCF_021342995.1_ASM2134299v1	562	Escherichia coli	strain=E-T172	latest	Contig	2022/01/01	5	4844	Pathogenic
Escherichia coli	E-T123	ENA, NCBI	562.0	E. coli	GCA_021343135.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/343/135/GCA_021343135.1_ASM2134313v1	GCF_021343135.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/343/135/GCF_021343135.1_ASM2134313v1	562	Escherichia coli	strain=E-T123	latest	Contig	2022/01/01	5	5256	Pathogenic
Escherichia coli	R504	ENA, NCBI	562.0	E. coli	GCA_021343295.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/343/295/GCA_021343295.1_ASM2134329v1	GCF_021343295.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/343/295/GCF_021343295.1_ASM2134329v1	562	Escherichia coli	strain=R504	latest	Scaffold	2022/01/01	5	4840	Pathogenic
Escherichia coli	K807-1	ENA, NCBI	562.0	E. coli	GCA_021343455.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/343/455/GCA_021343455.1_ASM2134345v1	GCF_021343455.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/343/455/GCF_021343455.1_ASM2134345v1	562	Escherichia coli	strain=K807-1	latest	Scaffold	2022/01/01	5	5324	Pathogenic
Bacteroides fragilis	IHMA_13	ENA	817.0	B. fragilis	GCA_021359585.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/359/585/GCA_021359585.1_ASM2135958v1	GCF_021359585.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/359/585/GCF_021359585.1_ASM2135958v1	817	Bacteroides fragilis	strain=IHMA_13	latest	Complete Genome	2022/01/04	1	4066	Pathogenic
Klebsiella quasipneumoniae//Klebsiella quasipneumoniae subsp. quasipneumoniae//Klebsiella pneumoniae	KPN1858	ENA, NCBI, Patric (diseases)	1667327.0	Klebsiella quasipneumoniae//Klebsiella quasipneumoniae subsp. quasipneumoniae//Klebsiella pneumoniae	GCA_021368655.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/368/655/GCA_021368655.1_ASM2136865v1	GCF_021368655.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/368/655/GCF_021368655.1_ASM2136865v1	1667327	Klebsiella quasipneumoniae subsp. quasipneumoniae	strain=KPN1858	latest	Contig	2022/01/05	2	4756	Pathogenic
Acinetobacter baumannii	R1009-1	NCBI	48296.0	A. baumannii	GCA_021385025.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/385/025/GCA_021385025.1_ASM2138502v1	GCF_021385025.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/385/025/GCF_021385025.1_ASM2138502v1	48296	Acinetobacter pittii	strain=R1009-1	latest	Contig	2022/01/07	4	3925	Pathogenic
Acinetobacter baumannii	T820	NCBI	48296.0	A. baumannii	GCA_021388455.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/388/455/GCA_021388455.1_ASM2138845v1	GCF_021388455.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/388/455/GCF_021388455.1_ASM2138845v1	48296	Acinetobacter pittii	strain=T820	latest	Contig	2022/01/07	4	3854	Pathogenic
Haemophilus influenzae	Hi38	ENA, Patric (diseases)	727.0	H. influenzae	GCA_021391075.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/391/075/GCA_021391075.1_ASM2139107v1	GCF_021391075.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/391/075/GCF_021391075.1_ASM2139107v1	727	Haemophilus influenzae	strain=Hi38	latest	Contig	2022/01/08	2	1730	Pathogenic
Haemophilus influenzae	AS11	ENA, Patric (diseases)	727.0	H. influenzae	GCA_021391155.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/391/155/GCA_021391155.1_ASM2139115v1	GCF_021391155.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/391/155/GCF_021391155.1_ASM2139115v1	727	Haemophilus influenzae	strain=AS11	latest	Contig	2022/01/08	2	1929	Pathogenic
Haemophilus influenzae	AS4	ENA, Patric (diseases)	727.0	H. influenzae	GCA_021391195.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/391/195/GCA_021391195.1_ASM2139119v1	GCF_021391195.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/391/195/GCF_021391195.1_ASM2139119v1	727	Haemophilus influenzae	strain=AS4	latest	Contig	2022/01/08	2	1692	Pathogenic
Haemophilus influenzae	AS1	ENA, Patric (diseases)	727.0	H. influenzae	GCA_021391215.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/391/215/GCA_021391215.1_ASM2139121v1	GCF_021391215.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/391/215/GCF_021391215.1_ASM2139121v1	727	Haemophilus influenzae	strain=AS1	latest	Contig	2022/01/08	2	1740	Pathogenic
Serratia marcescens	SMNSF-1	NCBI	615.0	S. marcescens	GCA_021398895.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/398/895/GCA_021398895.1_ASM2139889v1	GCF_021398895.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/398/895/GCF_021398895.1_ASM2139889v1	615	Serratia marcescens	strain=SMNSF-1	latest	Complete Genome	2022/01/10	1	4768	Pathogenic
Klebsiella oxytoca	KONSF-1	ENA, NCBI	571.0	K. oxytoca	GCA_021398915.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/398/915/GCA_021398915.1_ASM2139891v1	GCF_021398915.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/398/915/GCF_021398915.1_ASM2139891v1	571	Klebsiella oxytoca	strain=KONSF-1	latest	Complete Genome	2022/01/10	3	5363	Pathogenic
Escherichia coli O99:H6//Escherichia coli	CU42ET-1	ENA, NCBI	2874051.0	Escherichia coli O99:H6//Escherichia coli	GCA_021398975.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/398/975/GCA_021398975.1_ASM2139897v1	GCF_021398975.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/398/975/GCF_021398975.1_ASM2139897v1	2874051	Escherichia coli O99:H6	strain=CU42ET-1	latest	Complete Genome	2022/01/10	5	4540	Pathogenic
Herbaspirillum frisingense	AU14559	Patric (diseases)	92645.0	Herbaspirillum frisingense	GCA_021399035.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/399/035/GCA_021399035.1_ASM2139903v1	GCF_021399035.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/399/035/GCF_021399035.1_ASM2139903v1	92645	Herbaspirillum frisingense	strain=AU14559	latest	Complete Genome	2022/01/10	5	4793	Pathogenic
Bacteroides thetaiotaomicron	BJH_98	ENA	818.0	B. thetaiotaomicron	GCA_021406325.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/406/325/GCA_021406325.1_ASM2140632v1	GCF_021406325.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/406/325/GCF_021406325.1_ASM2140632v1	818	Bacteroides thetaiotaomicron	strain=BJH_98	latest	Contig	2022/01/10	1	5589	Pathogenic
Bacteroides thetaiotaomicron	BJH_94	ENA	818.0	B. thetaiotaomicron	GCA_021406385.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/406/385/GCA_021406385.1_ASM2140638v1	GCF_021406385.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/406/385/GCF_021406385.1_ASM2140638v1	818	Bacteroides thetaiotaomicron	strain=BJH_94	latest	Contig	2022/01/10	1	5466	Pathogenic
Bacteroides ovatus	BJH_9	ENA	28116.0	B. ovatus	GCA_021406465.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/406/465/GCA_021406465.1_ASM2140646v1	GCF_021406465.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/406/465/GCF_021406465.1_ASM2140646v1	28116	Bacteroides ovatus	strain=BJH_9	latest	Contig	2022/01/10	3	4883	Pathogenic
Bacteroides thetaiotaomicron	BJH_88	ENA	818.0	B. thetaiotaomicron	GCA_021406505.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/406/505/GCA_021406505.1_ASM2140650v1	GCF_021406505.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/406/505/GCF_021406505.1_ASM2140650v1	818	Bacteroides thetaiotaomicron	strain=BJH_88	latest	Contig	2022/01/10	1	4750	Pathogenic
Porphyromonas gingivalis	JKG10	ENA	837.0	P. gingivalis	GCA_021406605.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/406/605/GCA_021406605.1_ASM2140660v1	GCF_021406605.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/406/605/GCF_021406605.1_ASM2140660v1	837	Porphyromonas gingivalis	strain=JKG10	latest	Contig	2022/01/10	5	2104	Pathogenic
Porphyromonas gingivalis	EM3	ENA	837.0	P. gingivalis	GCA_021406625.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/406/625/GCA_021406625.1_ASM2140662v1	GCF_021406625.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/406/625/GCF_021406625.1_ASM2140662v1	837	Porphyromonas gingivalis	strain=EM3	latest	Contig	2022/01/10	5	2083	Pathogenic
Porphyromonas gingivalis	B158	ENA	837.0	P. gingivalis	GCA_021406645.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/406/645/GCA_021406645.1_ASM2140664v1	GCF_021406645.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/406/645/GCF_021406645.1_ASM2140664v1	837	Porphyromonas gingivalis	strain=B158	latest	Contig	2022/01/10	5	1935	Pathogenic
Porphyromonas gingivalis	TV14	ENA	837.0	P. gingivalis	GCA_021406705.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/406/705/GCA_021406705.1_ASM2140670v1	GCF_021406705.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/406/705/GCF_021406705.1_ASM2140670v1	837	Porphyromonas gingivalis	strain=TV14	latest	Contig	2022/01/10	5	2112	Pathogenic
Porphyromonas gingivalis	Kyudai-4	ENA	837.0	P. gingivalis	GCA_021406735.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/406/735/GCA_021406735.1_ASM2140673v1	GCF_021406735.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/406/735/GCF_021406735.1_ASM2140673v1	837	Porphyromonas gingivalis	strain=Kyudai-4	latest	Contig	2022/01/10	5	1963	Pathogenic
Porphyromonas gingivalis	B42	ENA	837.0	P. gingivalis	GCA_021406745.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/406/745/GCA_021406745.1_ASM2140674v1	GCF_021406745.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/406/745/GCF_021406745.1_ASM2140674v1	837	Porphyromonas gingivalis	strain=B42	latest	Scaffold	2022/01/10	5	2002	Pathogenic
Porphyromonas gingivalis	1436	ENA	837.0	P. gingivalis	GCA_021406785.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/406/785/GCA_021406785.1_ASM2140678v1	GCF_021406785.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/406/785/GCF_021406785.1_ASM2140678v1	837	Porphyromonas gingivalis	strain=1436	latest	Contig	2022/01/10	5	2063	Pathogenic
Porphyromonas gingivalis	D83T3	ENA	837.0	P. gingivalis	GCA_021406795.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/406/795/GCA_021406795.1_ASM2140679v1	GCF_021406795.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/406/795/GCF_021406795.1_ASM2140679v1	837	Porphyromonas gingivalis	strain=D83T3	latest	Contig	2022/01/10	5	2180	Pathogenic
Porphyromonas gingivalis	222	ENA	837.0	P. gingivalis	GCA_021406845.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/406/845/GCA_021406845.1_ASM2140684v1	GCF_021406845.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/406/845/GCF_021406845.1_ASM2140684v1	837	Porphyromonas gingivalis	strain=222	latest	Contig	2022/01/10	5	2034	Pathogenic
Bacteroides caccae	VPI-T1-1	ENA	47678.0	B. caccae	GCA_021409425.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/409/425/GCA_021409425.1_ASM2140942v1	GCF_021409425.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/409/425/GCF_021409425.1_ASM2140942v1	47678	Bacteroides caccae	strain=VPI-T1-1	latest	Contig	2022/01/10	3	4150	Pathogenic
Bacteroides uniformis	VPI-909	ENA	820.0	B. uniformis	GCA_021409485.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/409/485/GCA_021409485.1_ASM2140948v1	GCF_021409485.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/409/485/GCF_021409485.1_ASM2140948v1	820	Bacteroides uniformis	strain=VPI-909	latest	Scaffold	2022/01/10	3	3871	Pathogenic
Bacteroides thetaiotaomicron	VPI-C11-15	ENA	818.0	B. thetaiotaomicron	GCA_021409505.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/409/505/GCA_021409505.1_ASM2140950v1	GCF_021409505.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/409/505/GCF_021409505.1_ASM2140950v1	818	Bacteroides thetaiotaomicron	strain=VPI-C11-15	latest	Scaffold	2022/01/10	1	5087	Pathogenic
Bacteroides nordii	WAL7936	ENA	291645.0	B. nordii	GCA_021409515.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/409/515/GCA_021409515.1_ASM2140951v1	GCF_021409515.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/409/515/GCF_021409515.1_ASM2140951v1	291645	Bacteroides nordii	strain=WAL7936	latest	Contig	2022/01/10	2	4150	Pathogenic
Bacteroides thetaiotaomicron	VPI-J19-343	ENA	818.0	B. thetaiotaomicron	GCA_021409565.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/409/565/GCA_021409565.1_ASM2140956v1	GCF_021409565.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/409/565/GCF_021409565.1_ASM2140956v1	818	Bacteroides thetaiotaomicron	strain=VPI-J19-343	latest	Contig	2022/01/10	1	4701	Pathogenic
Bacteroides thetaiotaomicron	VPI-0940-1	ENA	818.0	B. thetaiotaomicron	GCA_021409585.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/409/585/GCA_021409585.1_ASM2140958v1	GCF_021409585.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/409/585/GCF_021409585.1_ASM2140958v1	818	Bacteroides thetaiotaomicron	strain=VPI-0940-1	latest	Contig	2022/01/10	1	4708	Pathogenic
Bacteroides thetaiotaomicron	VPI-0633-1	ENA	818.0	B. thetaiotaomicron	GCA_021409595.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/409/595/GCA_021409595.1_ASM2140959v1	GCF_021409595.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/409/595/GCF_021409595.1_ASM2140959v1	818	Bacteroides thetaiotaomicron	strain=VPI-0633-1	latest	Contig	2022/01/10	1	4466	Pathogenic
Bacteroides caccae	BJH_80	ENA	47678.0	B. caccae	GCA_021409765.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/409/765/GCA_021409765.1_ASM2140976v1	GCF_021409765.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/409/765/GCF_021409765.1_ASM2140976v1	47678	Bacteroides caccae	strain=BJH_80	latest	Contig	2022/01/10	3	4601	Pathogenic
Bacteroides caccae	BJH_79	ENA	47678.0	B. caccae	GCA_021409805.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/409/805/GCA_021409805.1_ASM2140980v1	GCF_021409805.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/409/805/GCF_021409805.1_ASM2140980v1	47678	Bacteroides caccae	strain=BJH_79	latest	Contig	2022/01/10	3	4524	Pathogenic
Bacteroides thetaiotaomicron	BJH_76	ENA	818.0	B. thetaiotaomicron	GCA_021409845.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/409/845/GCA_021409845.1_ASM2140984v1	GCF_021409845.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/409/845/GCF_021409845.1_ASM2140984v1	818	Bacteroides thetaiotaomicron	strain=BJH_76	latest	Contig	2022/01/10	1	5373	Pathogenic
Bacteroides ovatus	BJH_74	ENA	28116.0	B. ovatus	GCA_021409885.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/409/885/GCA_021409885.1_ASM2140988v1	GCF_021409885.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/409/885/GCF_021409885.1_ASM2140988v1	28116	Bacteroides ovatus	strain=BJH_74	latest	Contig	2022/01/10	3	5036	Pathogenic
Bacteroides thetaiotaomicron	BJH_68	ENA	818.0	B. thetaiotaomicron	GCA_021409915.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/409/915/GCA_021409915.1_ASM2140991v1	GCF_021409915.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/409/915/GCF_021409915.1_ASM2140991v1	818	Bacteroides thetaiotaomicron	strain=BJH_68	latest	Contig	2022/01/10	1	5801	Pathogenic
Bacteroides thetaiotaomicron	BJH_73	ENA	818.0	B. thetaiotaomicron	GCA_021409945.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/409/945/GCA_021409945.1_ASM2140994v1	GCF_021409945.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/409/945/GCF_021409945.1_ASM2140994v1	818	Bacteroides thetaiotaomicron	strain=BJH_73	latest	Contig	2022/01/10	1	4798	Pathogenic
Bacteroides ovatus	BJH_51	ENA	28116.0	B. ovatus	GCA_021410305.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/410/305/GCA_021410305.1_ASM2141030v1	GCF_021410305.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/410/305/GCF_021410305.1_ASM2141030v1	28116	Bacteroides ovatus	strain=BJH_51	latest	Contig	2022/01/10	3	5320	Pathogenic
Bacteroides ovatus	BJH_42	ENA	28116.0	B. ovatus	GCA_021410395.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/410/395/GCA_021410395.1_ASM2141039v1	GCF_021410395.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/410/395/GCF_021410395.1_ASM2141039v1	28116	Bacteroides ovatus	strain=BJH_42	latest	Contig	2022/01/10	3	5039	Pathogenic
Bacteroides ovatus	BJH_39	ENA	28116.0	B. ovatus	GCA_021410535.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/410/535/GCA_021410535.1_ASM2141053v1	GCF_021410535.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/410/535/GCF_021410535.1_ASM2141053v1	28116	Bacteroides ovatus	strain=BJH_39	latest	Contig	2022/01/10	3	5345	Pathogenic
Bacteroides thetaiotaomicron	BJH_34	ENA	818.0	B. thetaiotaomicron	GCA_021410605.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/410/605/GCA_021410605.1_ASM2141060v1	GCF_021410605.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/410/605/GCF_021410605.1_ASM2141060v1	818	Bacteroides thetaiotaomicron	strain=BJH_34	latest	Contig	2022/01/10	1	5254	Pathogenic
Bacteroides thetaiotaomicron	BJH_30	ENA	818.0	B. thetaiotaomicron	GCA_021410665.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/410/665/GCA_021410665.1_ASM2141066v1	GCF_021410665.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/410/665/GCF_021410665.1_ASM2141066v1	818	Bacteroides thetaiotaomicron	strain=BJH_30	latest	Contig	2022/01/10	1	4901	Pathogenic
Bacteroides ovatus	BJH_28	ENA	28116.0	B. ovatus	GCA_021410685.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/410/685/GCA_021410685.1_ASM2141068v1	GCF_021410685.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/410/685/GCF_021410685.1_ASM2141068v1	28116	Bacteroides ovatus	strain=BJH_28	latest	Contig	2022/01/10	3	5441	Pathogenic
Bacteroides faecis	BJH_3	ENA	674529.0	B. faecis	GCA_021410725.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/410/725/GCA_021410725.1_ASM2141072v1	GCF_021410725.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/410/725/GCF_021410725.1_ASM2141072v1	674529	Bacteroides faecis	strain=BJH_3	latest	Contig	2022/01/10	4	6003	Pathogenic
Bacteroides ovatus	BJH_27	ENA	28116.0	B. ovatus	GCA_021410745.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/410/745/GCA_021410745.1_ASM2141074v1	GCF_021410745.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/410/745/GCF_021410745.1_ASM2141074v1	28116	Bacteroides ovatus	strain=BJH_27	latest	Contig	2022/01/10	3	5601	Pathogenic
Bacteroides faecis	BJH_22	ENA	674529.0	B. faecis	GCA_021410795.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/410/795/GCA_021410795.1_ASM2141079v1	GCF_021410795.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/410/795/GCF_021410795.1_ASM2141079v1	674529	Bacteroides faecis	strain=BJH_22	latest	Contig	2022/01/10	4	5507	Pathogenic
Bacteroides thetaiotaomicron	BJH_217	ENA	818.0	B. thetaiotaomicron	GCA_021410825.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/410/825/GCA_021410825.1_ASM2141082v1	GCF_021410825.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/410/825/GCF_021410825.1_ASM2141082v1	818	Bacteroides thetaiotaomicron	strain=BJH_217	latest	Contig	2022/01/10	1	5343	Pathogenic
Bacteroides thetaiotaomicron	BJH_202	ENA	818.0	B. thetaiotaomicron	GCA_021411065.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/411/065/GCA_021411065.1_ASM2141106v1	GCF_021411065.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/411/065/GCF_021411065.1_ASM2141106v1	818	Bacteroides thetaiotaomicron	strain=BJH_202	latest	Contig	2022/01/10	1	5596	Pathogenic
Bacteroides ovatus	BJH_205	ENA	28116.0	B. ovatus	GCA_021411085.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/411/085/GCA_021411085.1_ASM2141108v1	GCF_021411085.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/411/085/GCF_021411085.1_ASM2141108v1	28116	Bacteroides ovatus	strain=BJH_205	latest	Contig	2022/01/10	3	5092	Pathogenic
Bacteroides pyogenes	BJH_194	ENA	310300.0	B. pyogenes	GCA_021411265.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/411/265/GCA_021411265.1_ASM2141126v1	GCF_021411265.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/411/265/GCF_021411265.1_ASM2141126v1	310300	Bacteroides pyogenes	strain=BJH_194	latest	Contig	2022/01/10	3	2882	Pathogenic
Bacteroides thetaiotaomicron	BJH_195	ENA	818.0	B. thetaiotaomicron	GCA_021411305.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/411/305/GCA_021411305.1_ASM2141130v1	GCF_021411305.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/411/305/GCF_021411305.1_ASM2141130v1	818	Bacteroides thetaiotaomicron	strain=BJH_195	latest	Contig	2022/01/10	1	5435	Pathogenic
Bacteroides thetaiotaomicron	BJH_19	ENA	818.0	B. thetaiotaomicron	GCA_021411375.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/411/375/GCA_021411375.1_ASM2141137v1	GCF_021411375.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/411/375/GCF_021411375.1_ASM2141137v1	818	Bacteroides thetaiotaomicron	strain=BJH_19	latest	Contig	2022/01/10	1	5563	Pathogenic
Bacteroides thetaiotaomicron	BJH_187	ENA	818.0	B. thetaiotaomicron	GCA_021411425.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/411/425/GCA_021411425.1_ASM2141142v1	GCF_021411425.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/411/425/GCF_021411425.1_ASM2141142v1	818	Bacteroides thetaiotaomicron	strain=BJH_187	latest	Contig	2022/01/10	1	5644	Pathogenic
Bacteroides ovatus	BJH_18	ENA	28116.0	B. ovatus	GCA_021411555.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/411/555/GCA_021411555.1_ASM2141155v1	GCF_021411555.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/411/555/GCF_021411555.1_ASM2141155v1	28116	Bacteroides ovatus	strain=BJH_18	latest	Contig	2022/01/10	3	5663	Pathogenic
Bacteroides ovatus	BJH_170	ENA	28116.0	B. ovatus	GCA_021411705.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/411/705/GCA_021411705.1_ASM2141170v1	GCF_021411705.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/411/705/GCF_021411705.1_ASM2141170v1	28116	Bacteroides ovatus	strain=BJH_170	latest	Contig	2022/01/10	3	5601	Pathogenic
Bacteroides thetaiotaomicron	BJH_17	ENA	818.0	B. thetaiotaomicron	GCA_021411755.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/411/755/GCA_021411755.1_ASM2141175v1	GCF_021411755.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/411/755/GCF_021411755.1_ASM2141175v1	818	Bacteroides thetaiotaomicron	strain=BJH_17	latest	Contig	2022/01/10	1	4850	Pathogenic
Bacteroides thetaiotaomicron	BJH_166	ENA	818.0	B. thetaiotaomicron	GCA_021411805.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/411/805/GCA_021411805.1_ASM2141180v1	GCF_021411805.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/411/805/GCF_021411805.1_ASM2141180v1	818	Bacteroides thetaiotaomicron	strain=BJH_166	latest	Contig	2022/01/10	1	5191	Pathogenic
