Species_DBs	Strain_DBs	Origin DB	Taxonomy ID	Species abb.	assembly_accession_genbank	FTP path genbank	assembly_accession_refseq	FTP path refseq	TaxID refseq	Organism Name Refseq	Infraspecific Name Refseq	version_status_refseq	assembly_level_refseq	seq_rel_date_refseq	PathoPhenotype
Enterococcus faecium	21ZC30093	NCBI	1352	E. faecium	GCA_040532125.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/040/532/125/GCA_040532125.1_ASM4053212v1	GCF_040532125.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/532/125/GCF_040532125.1_ASM4053212v1	1352	Enterococcus faecium	strain=21ZC30093	latest	Scaffold	2024-07-06	Pathogenic
Enterobacter hormaechei	CRE-20-244	NCBI	158836	E. hormaechei	GCA_040240965.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/040/240/965/GCA_040240965.1_ASM4024096v1	GCF_040240965.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/240/965/GCF_040240965.1_ASM4024096v1	158836	Enterobacter hormaechei	strain=CRE-20-244	latest	Contig	2024-06-18	Pathogenic
Citrobacter freundii	uvzsr-PT_24_00015-A05-AR_24_00000995	NCBI	546	C. freundii	GCA_964234585.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/234/585/GCA_964234585.1_24-995	GCF_964234585.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/234/585/GCF_964234585.1_24-995	546	Citrobacter freundii	strain=uvzsr-PT_24_00015-A05-AR_24_00000995	latest	Contig	2024-08-27	Pathogenic
Haemophilus influenzae	LACPHL-SPEC-2024-00481	NCBI	727	H. influenzae	GCA_041450715.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/041/450/715/GCA_041450715.1_ASM4145071v1	GCF_041450715.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/041/450/715/GCF_041450715.1_ASM4145071v1	727	Haemophilus influenzae	strain=LACPHL-SPEC-2024-00481	latest	Contig	2024-08-25	Pathogenic
Enterobacter kobei	ELB009	NCBI	208224	E. kobei	GCA_036711535.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/711/535/GCA_036711535.1_ASM3671153v1	GCF_036711535.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/711/535/GCF_036711535.1_ASM3671153v1	208224	Enterobacter kobei	strain=ELB009	latest	Contig	2024-02-20	Pathogenic
Acinetobacter baumannii	UAB_Ab_121	NCBI	470	A. baumannii	GCA_040445275.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/040/445/275/GCA_040445275.1_ASM4044527v1	GCF_040445275.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/445/275/GCF_040445275.1_ASM4044527v1	470	Acinetobacter baumannii	strain=UAB_Ab_121	latest	Contig	2024-07-01	Pathogenic
Klebsiella pneumoniae	KE9690	NCBI	548	K. pneumoniae	GCA_043830265.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/043/830/265/GCA_043830265.1_ASM4383026v1	GCF_043830265.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/043/830/265/GCF_043830265.1_ASM4383026v1	548	Klebsiella aerogenes	strain=KE9690	latest	Contig	2024-10-25	Pathogenic
Escherichia coli	TITRS2	NCBI	562	E. coli	GCA_043659535.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/043/659/535/GCA_043659535.1_ASM4365953v1	GCF_043659535.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/043/659/535/GCF_043659535.1_ASM4365953v1	562	Escherichia coli	strain=TITRS2	latest	Scaffold	2024-10-23	Pathogenic
Enterobacter cloacae	MDCL 28_2023	NCBI	336306	E. cloacae	GCA_039669935.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/039/669/935/GCA_039669935.1_ASM3966993v1	GCF_039669935.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/039/669/935/GCF_039669935.1_ASM3966993v1	336306	Enterobacter cloacae subsp. cloacae	strain=MDCL 28_2023	latest	Contig	2024-05-17	Pathogenic
Vibrio cholerae	non-O1/non-O139	NCBI	666	V. cholerae	GCA_037154575.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/154/575/GCA_037154575.1_ASM3715457v1	GCF_037154575.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/037/154/575/GCF_037154575.1_ASM3715457v1	666	Vibrio cholerae	strain=non-O1/non-O139	latest	Scaffold	2024-03-14	Pathogenic
Vibrio cholerae	975275	Patric (diseases)	666	V. cholerae	GCA_033803285.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/033/803/285/GCA_033803285.1_ASM3380328v1	GCF_033803285.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/033/803/285/GCF_033803285.1_ASM3380328v1	666	Vibrio cholerae	strain=975275	latest	Scaffold	2023-11-19	Pathogenic
Enterobacter hormaechei	17616	NCBI	158836	E. hormaechei	GCA_036234815.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/234/815/GCA_036234815.1_ASM3623481v1	GCF_036234815.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/234/815/GCF_036234815.1_ASM3623481v1	158836	Enterobacter hormaechei	strain=17616	latest	Scaffold	2024-01-28	Pathogenic
Acinetobacter baumannii	FFTB-52717	NCBI	106654	A. baumannii	GCA_964206985.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/206/985/GCA_964206985.1_FFTB_52717.1	GCF_964206985.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/206/985/GCF_964206985.1_FFTB_52717.1	106654	Acinetobacter nosocomialis	strain=FFTB-52717	latest	Contig	2024-07-28	Pathogenic
Enterobacter cloacae	CDS0203	NCBI	550	E. cloacae	GCA_039572345.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/039/572/345/GCA_039572345.1_ASM3957234v1	GCF_039572345.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/039/572/345/GCF_039572345.1_ASM3957234v1	550	Enterobacter cloacae	strain=CDS0203	latest	Contig	2024-05-08	Pathogenic
Aeromonas veronii	FUJ80482	NCBI, Patric (diseases)	654	A. veronii	GCA_035206685.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/206/685/GCA_035206685.1_ASM3520668v1	GCF_035206685.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/035/206/685/GCF_035206685.1_ASM3520668v1	654	Aeromonas veronii	strain=FUJ80482	latest	Contig	2024-01-08	Pathogenic
Neisseria oralis	EXNM717	NCBI	1107316	N. oralis	GCA_045062685.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/045/062/685/GCA_045062685.1_ASM4506268v1	GCF_045062685.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/045/062/685/GCF_045062685.1_ASM4506268v1	1107316	Neisseria oralis	strain=EXNM717	latest	Contig	2024-11-19	Pathogenic
Enterobacter mori	ELB125	NCBI	539813	E. mori	GCA_036709215.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/709/215/GCA_036709215.1_ASM3670921v1	GCF_036709215.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/709/215/GCF_036709215.1_ASM3670921v1	539813	Enterobacter mori	strain=ELB125	latest	Contig	2024-02-20	Pathogenic
Enterobacter ludwigii	KE9845	NCBI	299767	E. ludwigii	GCA_043828545.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/043/828/545/GCA_043828545.1_ASM4382854v1	GCF_043828545.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/043/828/545/GCF_043828545.1_ASM4382854v1	299767	Enterobacter ludwigii	strain=KE9845	latest	Contig	2024-10-25	Pathogenic
Staphylococcus pseudintermedius	52TR3	NCBI, Patric (diseases)	283734	S. pseudintermedius	GCA_036409815.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/409/815/GCA_036409815.1_ASM3640981v1	GCF_036409815.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/409/815/GCF_036409815.1_ASM3640981v1	283734	Staphylococcus pseudintermedius	strain=52TR3	latest	Contig	2024-02-05	Pathogenic
Acinetobacter baumannii	SIMBA095	NCBI	106654	A. baumannii	GCA_041079975.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/041/079/975/GCA_041079975.1_ASM4107997v1	GCF_041079975.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/041/079/975/GCF_041079975.1_ASM4107997v1	106654	Acinetobacter nosocomialis	strain=SIMBA095	latest	Contig	2024-08-06	Pathogenic
Klebsiella pneumoniae	KP_NORM_BLD_62512	NCBI	2590157	K. pneumoniae	GCA_041860345.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/041/860/345/GCA_041860345.1_ASM4186034v1	GCF_041860345.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/041/860/345/GCF_041860345.1_ASM4186034v1	2590157	Klebsiella variicola subsp. variicola	strain=KP_NORM_BLD_62512	latest	Complete Genome	2024-09-08	Pathogenic
Burkholderia cepacia	GIMC4612:Bcn34P14	NCBI	95486	B. cepacia	GCA_041205585.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/041/205/585/GCA_041205585.1_ASM4120558v1	GCF_041205585.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/041/205/585/GCF_041205585.1_ASM4120558v1	95486	Burkholderia cenocepacia	strain=GIMC4612:Bcn34P14	latest	Contig	2024-08-11	Pathogenic
Klebsiella pneumoniae	1254-1	NCBI	573	K. pneumoniae	GCA_039720415.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/039/720/415/GCA_039720415.1_ASM3972041v1	GCF_039720415.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/039/720/415/GCF_039720415.1_ASM3972041v1	573	Klebsiella pneumoniae	strain=1254-1	latest	Complete Genome	2024-05-24	Pathogenic
Acinetobacter baumannii	S1	NCBI	470	A. baumannii	GCA_040304485.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/040/304/485/GCA_040304485.1_ASM4030448v1	GCF_040304485.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/304/485/GCF_040304485.1_ASM4030448v1	470	Acinetobacter baumannii	strain=S1	latest	Scaffold	2024-06-25	Pathogenic
Stenotrophomonas maltophilia	SMYL40	NCBI	40324	S. maltophilia	GCA_036322125.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/322/125/GCA_036322125.1_ASM3632212v1	GCF_036322125.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/322/125/GCF_036322125.1_ASM3632212v1	40324	Stenotrophomonas maltophilia	strain=SMYL40	latest	Scaffold	2024-01-31	Pathogenic
Salmonella enterica//Salmonella enterica subsp. enterica serovar Enteritidis	S-28456	ENA, NCBI	149539	Salmonella enterica//Salmonella enterica subsp. enterica serovar Enteritidis	GCA_045004275.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/045/004/275/GCA_045004275.1_ASM4500427v1	GCF_045004275.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/045/004/275/GCF_045004275.1_ASM4500427v1	149539	Salmonella enterica subsp. enterica serovar Enteritidis	strain=S-28456	latest	Complete Genome	2024-11-22	Pathogenic
Shewanella algae	SYCDC19SW01	NCBI, Patric (diseases)	38313	S. algae	GCA_037006825.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/006/825/GCA_037006825.1_ASM3700682v1	GCF_037006825.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/037/006/825/GCF_037006825.1_ASM3700682v1	38313	Shewanella algae	strain=SYCDC19SW01	latest	Contig	2024-03-05	Pathogenic
Pseudomonas aeruginosa	6717055	NCBI	287	P. aeruginosa	GCA_043656955.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/043/656/955/GCA_043656955.1_ASM4365695v1	GCF_043656955.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/043/656/955/GCF_043656955.1_ASM4365695v1	287	Pseudomonas aeruginosa	strain=6717055	latest	Contig	2024-10-23	Pathogenic
Providencia alcalifaciens	FFDD-SALMO	NCBI	584	P. alcalifaciens	GCA_964209935.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/209/935/GCA_964209935.1_FFDD_SALMO.1	GCF_964209935.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/209/935/GCF_964209935.1_FFDD_SALMO.1	584	Proteus mirabilis	strain=FFDD-SALMO	latest	Contig	2024-07-30	Pathogenic
Stenotrophomonas pavanii	CCV130	Patric (diseases)	487698	S. pavanii	GCA_034506555.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/034/506/555/GCA_034506555.1_ASM3450655v1	GCF_034506555.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/034/506/555/GCF_034506555.1_ASM3450655v1	487698	Stenotrophomonas pavanii	strain=CCV130	latest	Scaffold	2023-12-20	Pathogenic
Morganella morganii	dmmm864	NCBI	582	M. morganii	GCA_040294765.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/040/294/765/GCA_040294765.1_ASM4029476v1	GCF_040294765.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/294/765/GCF_040294765.1_ASM4029476v1	582	Morganella morganii	strain=dmmm864	latest	Contig	2024-06-24	Pathogenic
Enterococcus faecium	C1310	NCBI	1352	E. faecium	GCA_044134165.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/044/134/165/GCA_044134165.1_ASM4413416v1	GCF_044134165.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/044/134/165/GCF_044134165.1_ASM4413416v1	1352	Enterococcus faecium	strain=C1310	latest	Contig	2024-10-30	Pathogenic
Streptococcus pneumoniae	SA12	NCBI	257758	S. pneumoniae	GCA_038148955.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/038/148/955/GCA_038148955.1_ASM3814895v1	GCF_038148955.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/038/148/955/GCF_038148955.1_ASM3814895v1	257758	Streptococcus pseudopneumoniae	strain=SA12	latest	Contig	2024-04-15	Pathogenic
Klebsiella pneumoniae	KP2035	NCBI, Patric (diseases)	573	K. pneumoniae	GCA_036329105.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/329/105/GCA_036329105.1_ASM3632910v1	GCF_036329105.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/329/105/GCF_036329105.1_ASM3632910v1	573	Klebsiella pneumoniae	strain=KP2035	latest	Scaffold	2024-02-01	Pathogenic
Aeromonas caviae	FUJ01848	Patric (diseases)	648	A. caviae	GCA_035205025.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/205/025/GCA_035205025.1_ASM3520502v1	GCF_035205025.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/035/205/025/GCF_035205025.1_ASM3520502v1	648	Aeromonas caviae	strain=FUJ01848	latest	Contig	2024-01-08	Pathogenic
Acinetobacter pittii	564U	Patric (diseases)	48296	A. pittii	GCA_034070325.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/034/070/325/GCA_034070325.1_ASM3407032v1	GCF_034070325.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/034/070/325/GCF_034070325.1_ASM3407032v1	48296	Acinetobacter pittii	strain=564U	latest	Complete Genome	2023-12-04	Pathogenic
Escherichia coli	6512	NCBI	562	E. coli	GCA_039748775.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/039/748/775/GCA_039748775.1_ASM3974877v1	GCF_039748775.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/039/748/775/GCF_039748775.1_ASM3974877v1	562	Escherichia coli	strain=6512	latest	Contig	2024-05-21	Pathogenic
Salmonella enterica	KEMRI_2023Cg103	NCBI	2564328	S. enterica	GCA_043108395.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/043/108/395/GCA_043108395.1_ASM4310839v1	GCF_043108395.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/043/108/395/GCF_043108395.1_ASM4310839v1	2564328	Salmonella enterica subsp. enterica serovar Chicago	strain=KEMRI_2023Cg103	latest	Contig	2024-10-14	Pathogenic
Pseudomonas aeruginosa	SS_PA43	NCBI	287	P. aeruginosa	GCA_040066635.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/040/066/635/GCA_040066635.1_ASM4006663v1	GCF_040066635.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/066/635/GCF_040066635.1_ASM4006663v1	287	Pseudomonas aeruginosa	strain=SS_PA43	latest	Contig	2024-06-04	Pathogenic
Escherichia coli	MS 69-1	NCBI	562	E. coli	GCA_037094605.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/094/605/GCA_037094605.1_ASM3709460v1	GCF_037094605.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/037/094/605/GCF_037094605.1_ASM3709460v1	562	Escherichia coli	strain=MS 69-1	latest	Complete Genome	2024-04-05	Pathogenic
Acinetobacter baumannii	AB29	NCBI	470	A. baumannii	GCA_040786425.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/040/786/425/GCA_040786425.1_ASM4078642v1	GCF_040786425.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/786/425/GCF_040786425.1_ASM4078642v1	470	Acinetobacter baumannii	strain=AB29	latest	Scaffold	2024-07-20	Pathogenic
Klebsiella pneumoniae	RHURS_0113	NCBI	573	K. pneumoniae	GCA_043677675.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/043/677/675/GCA_043677675.1_ASM4367767v1	GCF_043677675.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/043/677/675/GCF_043677675.1_ASM4367767v1	573	Klebsiella pneumoniae	strain=RHURS_0113	latest	Contig	2024-10-23	Pathogenic
Escherichia coli	MRSN967673	NCBI	562	E. coli	GCA_036033865.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/033/865/GCA_036033865.1_ASM3603386v1	GCF_036033865.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/033/865/GCF_036033865.1_ASM3603386v1	562	Escherichia coli	strain=MRSN967673	latest	Contig	2024-01-24	Pathogenic
Klebsiella pneumoniae	uvzsr-PT_24_00009-C10-AR_23_00002422	NCBI	1463165	K. pneumoniae	GCA_964215035.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/215/035/GCA_964215035.1_23-2422	GCF_964215035.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/215/035/GCF_964215035.1_23-2422	1463165	Klebsiella quasipneumoniae	strain=uvzsr-PT_24_00009-C10-AR_23_00002422	latest	Contig	2024-08-27	Pathogenic
Klebsiella pneumoniae	MRSN960423	NCBI	573	K. pneumoniae	GCA_036034285.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/034/285/GCA_036034285.1_ASM3603428v1	GCF_036034285.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/034/285/GCF_036034285.1_ASM3603428v1	573	Klebsiella pneumoniae	strain=MRSN960423	latest	Contig	2024-01-24	Pathogenic
Escherichia coli	LR-46	NCBI	562	E. coli	GCA_036496705.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/496/705/GCA_036496705.1_ASM3649670v1	GCF_036496705.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/496/705/GCF_036496705.1_ASM3649670v1	562	Escherichia coli	strain=LR-46	latest	Complete Genome	2023-11-03	Pathogenic
Staphylococcus pseudintermedius	27T2.1	NCBI, Patric (diseases)	283734	S. pseudintermedius	GCA_036409575.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/409/575/GCA_036409575.1_ASM3640957v1	GCF_036409575.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/409/575/GCF_036409575.1_ASM3640957v1	283734	Staphylococcus pseudintermedius	strain=27T2.1	latest	Contig	2024-02-05	Pathogenic
Klebsiella pneumoniae	FK3150	NCBI	1463165	K. pneumoniae	GCA_041204765.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/041/204/765/GCA_041204765.1_ASM4120476v1	GCF_041204765.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/041/204/765/GCF_041204765.1_ASM4120476v1	1463165	Klebsiella quasipneumoniae	strain=FK3150	latest	Contig	2024-08-11	Pathogenic
Enterobacter roggenkampii	ELB159	NCBI	1812935	E. roggenkampii	GCA_036708575.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/708/575/GCA_036708575.1_ASM3670857v1	GCF_036708575.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/708/575/GCF_036708575.1_ASM3670857v1	1812935	Enterobacter roggenkampii	strain=ELB159	latest	Contig	2024-02-20	Pathogenic
Acinetobacter baumannii	TZ-05	NCBI	48296	A. baumannii	GCA_039887655.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/039/887/655/GCA_039887655.1_ASM3988765v1	GCF_039887655.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/039/887/655/GCF_039887655.1_ASM3988765v1	48296	Acinetobacter pittii	strain=TZ-05	latest	Scaffold	2024-05-28	Pathogenic
Klebsiella pneumoniae	SAHWZMU15	NCBI	1463165	K. pneumoniae	GCA_040692045.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/040/692/045/GCA_040692045.1_ASM4069204v1	GCF_040692045.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/692/045/GCF_040692045.1_ASM4069204v1	1463165	Klebsiella quasipneumoniae	strain=SAHWZMU15	latest	Contig	2024-07-13	Pathogenic
Aeromonas caviae	FUJ01746	Patric (diseases)	648	A. caviae	GCA_035203825.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/203/825/GCA_035203825.1_ASM3520382v1	GCF_035203825.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/035/203/825/GCF_035203825.1_ASM3520382v1	648	Aeromonas caviae	strain=FUJ01746	latest	Contig	2024-01-08	Pathogenic
Klebsiella pneumoniae	2022CK-00751	NCBI	548	K. pneumoniae	GCA_026729635.4	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/026/729/635/GCA_026729635.4_ASM2672963v4	GCF_026729635.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/026/729/635/GCF_026729635.1_ASM2672963v4	548	Klebsiella aerogenes	strain=2022CK-00751	latest	Complete Genome	2024-09-25	Pathogenic
Acinetobacter baumannii	A7056	NCBI	48296	A. baumannii	GCA_041533535.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/041/533/535/GCA_041533535.1_ASM4153353v1	GCF_041533535.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/041/533/535/GCF_041533535.1_ASM4153353v1	48296	Acinetobacter pittii	strain=A7056	latest	Contig	2024-08-28	Pathogenic
Clostridium sp. LIBA-8841	LIBA-8841	Patric (diseases)	2987530	Clostridium sp. LIBA-8841	GCA_034439435.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/034/439/435/GCA_034439435.1_ASM3443943v1	GCF_034439435.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/034/439/435/GCF_034439435.1_ASM3443943v1	2987530	Clostridium sp. LIBA-8841	strain=LIBA-8841	latest	Contig	2023-12-15	Pathogenic
Stenotrophomonas maltophilia	SMYL2	NCBI	40324	S. maltophilia	GCA_036319585.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/319/585/GCA_036319585.1_ASM3631958v1	GCF_036319585.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/319/585/GCF_036319585.1_ASM3631958v1	40324	Stenotrophomonas maltophilia	strain=SMYL2	latest	Scaffold	2024-01-31	Pathogenic
Klebsiella pneumoniae	UHD-2018	NCBI	573	K. pneumoniae	GCA_041530375.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/041/530/375/GCA_041530375.1_UHD-2018	GCF_041530375.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/041/530/375/GCF_041530375.1_UHD-2018	573	Klebsiella pneumoniae	strain=UHD-2018	latest	Complete Genome	2024-08-29	Pathogenic
Escherichia coli	RTP31084st1_F11_RTP31084_210423	NCBI	562	E. coli	GCA_040919865.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/040/919/865/GCA_040919865.1_ASM4091986v1	GCF_040919865.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/919/865/GCF_040919865.1_ASM4091986v1	562	Escherichia coli	strain=RTP31084st1_F11_RTP31084_210423	latest	Scaffold	2024-07-27	Pathogenic
Streptococcus pneumoniae	RTP21359st1_B1_RTP21359_211015	NCBI	1303	S. pneumoniae	GCA_040908645.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/040/908/645/GCA_040908645.1_ASM4090864v1	GCF_040908645.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/908/645/GCF_040908645.1_ASM4090864v1	1303	Streptococcus oralis	strain=RTP21359st1_B1_RTP21359_211015	latest	Scaffold	2024-07-26	Pathogenic
Vibrio cholerae	non-O1/non-O139	NCBI	666	V. cholerae	GCA_037150455.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/150/455/GCA_037150455.1_ASM3715045v1	GCF_037150455.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/037/150/455/GCF_037150455.1_ASM3715045v1	666	Vibrio cholerae	strain=non-O1/non-O139	latest	Scaffold	2024-03-14	Pathogenic
Kluyvera_intermedia	FFDD-581409L497	NCBI	51288	Kluyvera_intermedia	GCA_964209525.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/209/525/GCA_964209525.1_FFDD_581409L497.1	GCF_964209525.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/209/525/GCF_964209525.1_FFDD_581409L497.1	51288	Kluyvera ascorbata	strain=FFDD-581409L497	latest	Contig	2024-07-30	Pathogenic
Stenotrophomonas maltophilia	SMYL95	NCBI	40324	S. maltophilia	GCA_036319005.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/319/005/GCA_036319005.1_ASM3631900v1	GCF_036319005.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/319/005/GCF_036319005.1_ASM3631900v1	40324	Stenotrophomonas maltophilia	strain=SMYL95	latest	Scaffold	2024-01-31	Pathogenic
Klebsiella pneumoniae	L817	NCBI	548	K. pneumoniae	GCA_044384825.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/044/384/825/GCA_044384825.1_ASM4438482v1	GCF_044384825.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/044/384/825/GCF_044384825.1_ASM4438482v1	548	Klebsiella aerogenes	strain=L817	latest	Contig	2024-11-04	Pathogenic
Enterobacter hormaechei	ST141EH1	NCBI	158836	E. hormaechei	GCA_040566775.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/040/566/775/GCA_040566775.1_ASM4056677v1	GCF_040566775.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/566/775/GCF_040566775.1_ASM4056677v1	158836	Enterobacter hormaechei	strain=ST141EH1	latest	Contig	2024-07-08	Pathogenic
