Species_DBs	Strain_DBs	Origin DB	Reason Phenotype	Taxonomy ID	Species abb.	# assembly_accession_genbank	ftp_path_genbank	PathoPhenotype	# assembly_accession_refseq	bioproject_refseq	biosample_refseq	wgs_master_refseq	refseq_category_refseq	taxid_refseq	species_taxid_refseq	organism_name_refseq	infraspecific_name_refseq	isolate_refseq	version_status_refseq	assembly_level_refseq	release_type_refseq	genome_rep_refseq	seq_rel_date_refseq	asm_name_refseq	submitter_refseq	gbrs_paired_asm_refseq	paired_asm_comp_refseq	ftp_path_refseq	excluded_from_refseq_refseq	relation_to_type_material_refseq	asm_not_live_date_refseq	Species_Refseq	Entry	Full name	File	refseq_iden	cluster	partition	File_Embedding	Protein Count
Klebsiella variicola//Klebsiella pneumoniae	K568	ENA, NCBI	ENADB, NCBIPathogenDBB	244366.0	Klebsiella variicola//Klebsiella pneumoniae	GCA_022759425.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/759/425/GCA_022759425.1_ASM2275942v1	Pathogenic	GCF_022759425.1	PRJNA224116	SAMN13684361	WUQL00000000.1	na	244366	244366	Klebsiella variicola	strain=K568		latest	Contig	Major	Full	2022/03/29	ASM2275942v1	Chinese PLA General Hospital	GCA_022759425.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/759/425/GCF_022759425.1_ASM2275942v1			na	Klebsiella variicola	NZ_WUQL01000001.1	Klebsiella variicola strain K568 K568_1, whole genome shotgun sequence	GCF_022759425.1_ASM2275942v1_genomic.fna.gz 	GCF_022759425.1	11	2	GCF_022/GCF_022759425.1_ASM2275942v1_genomic.h5	4987
Klebsiella variicola//Klebsiella pneumoniae	K504	ENA, NCBI	ENADB, NCBIPathogenDBB	244366.0	Klebsiella variicola//Klebsiella pneumoniae	GCA_022759445.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/759/445/GCA_022759445.1_ASM2275944v1	Pathogenic	GCF_022759445.1	PRJNA224116	SAMN13684359	WUQN00000000.1	na	244366	244366	Klebsiella variicola	strain=K504		latest	Contig	Major	Full	2022/03/29	ASM2275944v1	Chinese PLA General Hospital	GCA_022759445.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/759/445/GCF_022759445.1_ASM2275944v1			na	Klebsiella variicola	NZ_WUQN01000001.1	Klebsiella variicola strain K504 K504_1, whole genome shotgun sequence	GCF_022759445.1_ASM2275944v1_genomic.fna.gz 	GCF_022759445.1	11	2	GCF_022/GCF_022759445.1_ASM2275944v1_genomic.h5	5627
Klebsiella variicola//Klebsiella pneumoniae	K135	ENA, NCBI	ENADB, NCBIPathogenDBB	244366.0	Klebsiella variicola//Klebsiella pneumoniae	GCA_022759485.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/759/485/GCA_022759485.1_ASM2275948v1	Pathogenic	GCF_022759485.1	PRJNA224116	SAMN13684358	WUQO00000000.1	na	244366	244366	Klebsiella variicola	strain=K135		latest	Contig	Major	Full	2022/03/29	ASM2275948v1	Chinese PLA General Hospital	GCA_022759485.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/759/485/GCF_022759485.1_ASM2275948v1			na	Klebsiella variicola	NZ_WUQO01000001.1	Klebsiella variicola strain K135 K135_1, whole genome shotgun sequence	GCF_022759485.1_ASM2275948v1_genomic.fna.gz 	GCF_022759485.1	11	2	GCF_022/GCF_022759485.1_ASM2275948v1_genomic.h5	5166
Klebsiella aerogenes//Klebsiella pneumoniae	NY1688	ENA, NCBI	ENADB, NCBIPathogenDBB	548.0	Klebsiella aerogenes//Klebsiella pneumoniae	GCA_022759585.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/759/585/GCA_022759585.1_ASM2275958v1	Pathogenic	GCF_022759585.1	PRJNA224116	SAMN26813722		na	548	548	Klebsiella aerogenes	strain=NY1688		latest	Complete Genome	Major	Full	2022/03/30	ASM2275958v1	Beijing Institute of Microbiology and Epidemiology	GCA_022759585.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/759/585/GCF_022759585.1_ASM2275958v1			na	Klebsiella aerogenes	NZ_CP094272.1	Klebsiella aerogenes strain NY1688 chromosome cNY1688, complete sequence	GCF_022759585.1_ASM2275958v1_genomic.fna.gz 	GCF_022759585.1	316	2	GCF_022/GCF_022759585.1_ASM2275958v1_genomic.h5	5741
Klebsiella aerogenes//Klebsiella pneumoniae	NY1464	ENA, NCBI	ENADB, NCBIPathogenDBB	548.0	Klebsiella aerogenes//Klebsiella pneumoniae	GCA_022759605.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/759/605/GCA_022759605.1_ASM2275960v1	Pathogenic	GCF_022759605.1	PRJNA224116	SAMN26813932		na	548	548	Klebsiella aerogenes	strain=NY1464		latest	Complete Genome	Major	Full	2022/03/30	ASM2275960v1	Beijing Institute of Microbiology and Epidemiology	GCA_022759605.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/759/605/GCF_022759605.1_ASM2275960v1			na	Klebsiella aerogenes	NZ_CP094280.1	Klebsiella aerogenes strain NY1464 chromosome, complete genome	GCF_022759605.1_ASM2275960v1_genomic.fna.gz 	GCF_022759605.1	316	2	GCF_022/GCF_022759605.1_ASM2275960v1_genomic.h5	5124
Klebsiella pneumoniae	kp9226	ENA, NCBI, Patric (diseases)	ENADB, NCBIPathogenDBB, 	573.0	K. pneumoniae	GCA_022760615.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/760/615/GCA_022760615.1_ASM2276061v1	Pathogenic	GCF_022760615.1	PRJNA224116	SAMN24662607	JAKCWZ000000000.1	na	573	573	Klebsiella pneumoniae	strain=kp9226		latest	Contig	Major	Full	2022/03/31	ASM2276061v1	Shanghai Jiao Tong University	GCA_022760615.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/760/615/GCF_022760615.1_ASM2276061v1			na	Klebsiella pneumoniae	NZ_JAKCWZ010000098.1	Klebsiella pneumoniae strain kp9226 NODE_100_length_236_cov_174.853211, whole genome shotgun sequence	GCF_022760615.1_ASM2276061v1_genomic.fna.gz 	GCF_022760615.1	11	2	GCF_022/GCF_022760615.1_ASM2276061v1_genomic.h5	5621
Klebsiella pneumoniae	HC001KP5	ENA, NCBI	ENADB, NCBIPathogenDBB	573.0	K. pneumoniae	GCA_022760675.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/760/675/GCA_022760675.1_ASM2276067v1	Pathogenic	GCF_022760675.1	PRJNA224116	SAMN24662609	JAKCXB000000000.1	na	573	573	Klebsiella pneumoniae	strain=HC001KP5		latest	Contig	Major	Full	2022/03/31	ASM2276067v1	Shanghai Jiao Tong University	GCA_022760675.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/760/675/GCF_022760675.1_ASM2276067v1			na	Klebsiella pneumoniae	NZ_JAKCXB010000001.1	Klebsiella pneumoniae strain HC001KP5 contig1, whole genome shotgun sequence	GCF_022760675.1_ASM2276067v1_genomic.fna.gz 	GCF_022760675.1	11	2	GCF_022/GCF_022760675.1_ASM2276067v1_genomic.h5	4965
Escherichia coli	YZ21HCE4	ENA, NCBI	ENADB, NCBIPathogenDBB	562.0	E. coli	GCA_022761245.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/761/245/GCA_022761245.1_ASM2276124v1	Pathogenic	GCF_022761245.1	PRJNA224116	SAMN26934415	JALEFK000000000.1	na	562	562	Escherichia coli	strain=YZ21HCE4		latest	Scaffold	Major	Full	2022/03/31	ASM2276124v1	Yangzhou University	GCA_022761245.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/761/245/GCF_022761245.1_ASM2276124v1			na	Escherichia coli	NZ_JALEFK010000001.1	Escherichia coli strain YZ21HCE4 YZU3107_001, whole genome shotgun sequence	GCF_022761245.1_ASM2276124v1_genomic.fna.gz 	GCF_022761245.1	9	5	GCF_022/GCF_022761245.1_ASM2276124v1_genomic.h5	4707
Escherichia coli	YZ21HCE5	ENA, NCBI	ENADB, NCBIPathogenDBB	562.0	E. coli	GCA_022761445.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/761/445/GCA_022761445.1_ASM2276144v1	Pathogenic	GCF_022761445.1	PRJNA224116	SAMN26934416	JALEFL000000000.1	na	562	562	Escherichia coli	strain=YZ21HCE5		latest	Scaffold	Major	Full	2022/03/31	ASM2276144v1	Yangzhou University	GCA_022761445.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/761/445/GCF_022761445.1_ASM2276144v1			na	Escherichia coli	NZ_JALEFL010000001.1	Escherichia coli strain YZ21HCE5 YZU3108_001, whole genome shotgun sequence	GCF_022761445.1_ASM2276144v1_genomic.fna.gz 	GCF_022761445.1	9	5	GCF_022/GCF_022761445.1_ASM2276144v1_genomic.h5	5268
Escherichia coli	YZ21HCE12	ENA, NCBI	ENADB, NCBIPathogenDBB	562.0	E. coli	GCA_022761625.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/761/625/GCA_022761625.1_ASM2276162v1	Pathogenic	GCF_022761625.1	PRJNA224116	SAMN26934419	JALEFO000000000.1	na	562	562	Escherichia coli	strain=YZ21HCE12		latest	Scaffold	Major	Full	2022/03/31	ASM2276162v1	Yangzhou University	GCA_022761625.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/761/625/GCF_022761625.1_ASM2276162v1			na	Escherichia coli	NZ_JALEFO010000001.1	Escherichia coli strain YZ21HCE12 YZU3115_001, whole genome shotgun sequence	GCF_022761625.1_ASM2276162v1_genomic.fna.gz 	GCF_022761625.1	9	5	GCF_022/GCF_022761625.1_ASM2276162v1_genomic.h5	5018
Escherichia coli	YZ21HCE20	ENA, NCBI	ENADB, NCBIPathogenDBB	562.0	E. coli	GCA_022761685.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/761/685/GCA_022761685.1_ASM2276168v1	Pathogenic	GCF_022761685.1	PRJNA224116	SAMN26934425	JALEFU000000000.1	na	562	562	Escherichia coli	strain=YZ21HCE20		latest	Scaffold	Major	Full	2022/03/31	ASM2276168v1	Yangzhou University	GCA_022761685.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/761/685/GCF_022761685.1_ASM2276168v1			na	Escherichia coli	NZ_JALEFU010000001.1	Escherichia coli strain YZ21HCE20 YZU3123_001, whole genome shotgun sequence	GCF_022761685.1_ASM2276168v1_genomic.fna.gz 	GCF_022761685.1	9	5	GCF_022/GCF_022761685.1_ASM2276168v1_genomic.h5	4360
Escherichia coli	YZ21HCE17	ENA, NCBI	ENADB, NCBIPathogenDBB	562.0	E. coli	GCA_022761705.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/761/705/GCA_022761705.1_ASM2276170v1	Pathogenic	GCF_022761705.1	PRJNA224116	SAMN26934424	JALEFT000000000.1	na	562	562	Escherichia coli	strain=YZ21HCE17		latest	Scaffold	Major	Full	2022/03/31	ASM2276170v1	Yangzhou University	GCA_022761705.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/761/705/GCF_022761705.1_ASM2276170v1			na	Escherichia coli	NZ_JALEFT010000001.1	Escherichia coli strain YZ21HCE17 YZU3120_001, whole genome shotgun sequence	GCF_022761705.1_ASM2276170v1_genomic.fna.gz 	GCF_022761705.1	9	5	GCF_022/GCF_022761705.1_ASM2276170v1_genomic.h5	4599
Escherichia coli	YZ21HCE28	ENA, NCBI	ENADB, NCBIPathogenDBB	562.0	E. coli	GCA_022761765.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/761/765/GCA_022761765.1_ASM2276176v1	Pathogenic	GCF_022761765.1	PRJNA224116	SAMN26934408	JALEFD000000000.1	na	562	562	Escherichia coli	strain=YZ21HCE28		latest	Contig	Major	Full	2022/03/31	ASM2276176v1	Yangzhou University	GCA_022761765.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/761/765/GCF_022761765.1_ASM2276176v1			na	Escherichia coli	NZ_JALEFD010000001.1	Escherichia coli strain YZ21HCE28 YZU3131_001, whole genome shotgun sequence	GCF_022761765.1_ASM2276176v1_genomic.fna.gz 	GCF_022761765.1	9	5	GCF_022/GCF_022761765.1_ASM2276176v1_genomic.h5	4725
Escherichia coli	IBD_EPEC57	ENA, NCBI	ENADB, NCBIPathogenDBB	562.0	E. coli	GCA_022764565.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/764/565/GCA_022764565.1_ASM2276456v1	Pathogenic	GCF_022764565.1	PRJNA224116	SAMN11231321	SQOF00000000.1	na	562	562	Escherichia coli	strain=IBD_EPEC57		latest	Scaffold	Major	Full	2022/03/31	ASM2276456v1	Medical University of Vienna	GCA_022764565.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/764/565/GCF_022764565.1_ASM2276456v1			na	Escherichia coli	NZ_SQOF01000010.1	Escherichia coli strain IBD_EPEC57 NODE_10_length_198835_cov_18.131582, whole genome shotgun sequence	GCF_022764565.1_ASM2276456v1_genomic.fna.gz 	GCF_022764565.1	9	5	GCF_022/GCF_022764565.1_ASM2276456v1_genomic.h5	4754
Escherichia coli	CNTRL_EPEC52	ENA, NCBI	ENADB, NCBIPathogenDBB	562.0	E. coli	GCA_022764685.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/764/685/GCA_022764685.1_ASM2276468v1	Pathogenic	GCF_022764685.1	PRJNA224116	SAMN11231316	SQOK00000000.1	na	562	562	Escherichia coli	strain=CNTRL_EPEC52		latest	Scaffold	Major	Full	2022/03/31	ASM2276468v1	Medical University of Vienna	GCA_022764685.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/764/685/GCF_022764685.1_ASM2276468v1			na	Escherichia coli	NZ_SQOK01000010.1	Escherichia coli strain CNTRL_EPEC52 NODE_10_length_213978_cov_32.475545, whole genome shotgun sequence	GCF_022764685.1_ASM2276468v1_genomic.fna.gz 	GCF_022764685.1	9	5	GCF_022/GCF_022764685.1_ASM2276468v1_genomic.h5	4533
Escherichia coli	CNTRL_EPEC47	ENA, NCBI	ENADB, NCBIPathogenDBB	562.0	E. coli	GCA_022764785.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/764/785/GCA_022764785.1_ASM2276478v1	Pathogenic	GCF_022764785.1	PRJNA224116	SAMN11231311	SQOP00000000.1	na	562	562	Escherichia coli	strain=CNTRL_EPEC47		latest	Scaffold	Major	Full	2022/03/31	ASM2276478v1	Medical University of Vienna	GCA_022764785.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/764/785/GCF_022764785.1_ASM2276478v1			na	Escherichia coli	NZ_SQOP01000010.1	Escherichia coli strain CNTRL_EPEC47 NODE_10_length_182676_cov_42.892643, whole genome shotgun sequence	GCF_022764785.1_ASM2276478v1_genomic.fna.gz 	GCF_022764785.1	9	5	GCF_022/GCF_022764785.1_ASM2276478v1_genomic.h5	4399
Escherichia coli//Escherichia albertii	CNTRL_EPEC46	ENA, NCBI	ENADB, NCBIPathogenDBB	208962.0	Escherichia coli//Escherichia albertii	GCA_022764805.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/764/805/GCA_022764805.1_ASM2276480v1	Pathogenic	GCF_022764805.1	PRJNA224116	SAMN11231310	SQOQ00000000.1	na	208962	208962	Escherichia albertii	strain=CNTRL_EPEC46		latest	Scaffold	Major	Full	2022/03/31	ASM2276480v1	Medical University of Vienna	GCA_022764805.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/764/805/GCF_022764805.1_ASM2276480v1			na	Escherichia albertii	NZ_SQOQ01000010.1	Escherichia albertii strain CNTRL_EPEC46 NODE_10_length_109200_cov_28.791083, whole genome shotgun sequence	GCF_022764805.1_ASM2276480v1_genomic.fna.gz 	GCF_022764805.1	855	4	GCF_022/GCF_022764805.1_ASM2276480v1_genomic.h5	4441
Escherichia coli	DIAR_EPEC27	ENA, NCBI	ENADB, NCBIPathogenDBB	562.0	E. coli	GCA_022765185.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/765/185/GCA_022765185.1_ASM2276518v1	Pathogenic	GCF_022765185.1	PRJNA224116	SAMN11231291	SQPJ00000000.1	na	562	562	Escherichia coli	strain=DIAR_EPEC27		latest	Scaffold	Major	Full	2022/03/31	ASM2276518v1	Medical University of Vienna	GCA_022765185.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/765/185/GCF_022765185.1_ASM2276518v1			na	Escherichia coli	NZ_SQPJ01000010.1	Escherichia coli strain DIAR_EPEC27 NODE_10_length_133642_cov_31.684933, whole genome shotgun sequence	GCF_022765185.1_ASM2276518v1_genomic.fna.gz 	GCF_022765185.1	9	5	GCF_022/GCF_022765185.1_ASM2276518v1_genomic.h5	4464
Escherichia coli	IBD_EPEC23	ENA, NCBI	ENADB, NCBIPathogenDBB	562.0	E. coli	GCA_022765265.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/765/265/GCA_022765265.1_ASM2276526v1	Pathogenic	GCF_022765265.1	PRJNA224116	SAMN11231287	SQPN00000000.1	na	562	562	Escherichia coli	strain=IBD_EPEC23		latest	Scaffold	Major	Full	2022/03/31	ASM2276526v1	Medical University of Vienna	GCA_022765265.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/765/265/GCF_022765265.1_ASM2276526v1			na	Escherichia coli	NZ_SQPN01000010.1	Escherichia coli strain IBD_EPEC23 NODE_10_length_207657_cov_38.634362, whole genome shotgun sequence	GCF_022765265.1_ASM2276526v1_genomic.fna.gz 	GCF_022765265.1	9	5	GCF_022/GCF_022765265.1_ASM2276526v1_genomic.h5	4497
Escherichia coli	IBD_EPEC19	ENA, NCBI	ENADB, NCBIPathogenDBB	562.0	E. coli	GCA_022765335.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/765/335/GCA_022765335.1_ASM2276533v1	Pathogenic	GCF_022765335.1	PRJNA224116	SAMN11231283	SQPR00000000.1	na	562	562	Escherichia coli	strain=IBD_EPEC19		latest	Scaffold	Major	Full	2022/03/31	ASM2276533v1	Medical University of Vienna	GCA_022765335.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/765/335/GCF_022765335.1_ASM2276533v1			na	Escherichia coli	NZ_SQPR01000010.1	Escherichia coli strain IBD_EPEC19 NODE_10_length_174489_cov_38.506073, whole genome shotgun sequence	GCF_022765335.1_ASM2276533v1_genomic.fna.gz 	GCF_022765335.1	9	5	GCF_022/GCF_022765335.1_ASM2276533v1_genomic.h5	4394
Escherichia coli	IBD_EPEC10	ENA, NCBI	ENADB, NCBIPathogenDBB	562.0	E. coli	GCA_022765495.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/765/495/GCA_022765495.1_ASM2276549v1	Pathogenic	GCF_022765495.1	PRJNA224116	SAMN11231274	SQQA00000000.1	na	562	562	Escherichia coli	strain=IBD_EPEC10		latest	Scaffold	Major	Full	2022/03/31	ASM2276549v1	Medical University of Vienna	GCA_022765495.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/765/495/GCF_022765495.1_ASM2276549v1			na	Escherichia coli	NZ_SQQA01000010.1	Escherichia coli strain IBD_EPEC10 NODE_10_length_243053_cov_34.278518, whole genome shotgun sequence	GCF_022765495.1_ASM2276549v1_genomic.fna.gz 	GCF_022765495.1	9	5	GCF_022/GCF_022765495.1_ASM2276549v1_genomic.h5	4429
Escherichia coli	IBD_EPEC4	ENA, NCBI, Patric (diseases)	ENADB, NCBIPathogenDBB, 	562.0	E. coli	GCA_022765635.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/765/635/GCA_022765635.1_ASM2276563v1	Pathogenic	GCF_022765635.1	PRJNA224116	SAMN11231268	SQQG00000000.1	na	562	562	Escherichia coli	strain=IBD_EPEC4		latest	Scaffold	Major	Full	2022/03/31	ASM2276563v1	Medical University of Vienna	GCA_022765635.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/765/635/GCF_022765635.1_ASM2276563v1			na	Escherichia coli	NZ_SQQG01000010.1	Escherichia coli strain IBD_EPEC4 NODE_10_length_157194_cov_24.037576, whole genome shotgun sequence	GCF_022765635.1_ASM2276563v1_genomic.fna.gz 	GCF_022765635.1	9	5	GCF_022/GCF_022765635.1_ASM2276563v1_genomic.h5	4398
Pseudomonas aeruginosa	Pae_AZ07	ENA, NCBI, Patric (diseases)	ENADB, NCBIPathogenDBB, 	287.0	P. aeruginosa	GCA_022807805.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/807/805/GCA_022807805.1_ASM2280780v1	Pathogenic	GCF_022807805.1	PRJNA224116	SAMN14145402	JAFLHV000000000.1	na	287	287	Pseudomonas aeruginosa	strain=Pae_AZ07		latest	Scaffold	Major	Full	2022/04/01	ASM2280780v1	Case Western Reserve University	GCA_022807805.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/807/805/GCF_022807805.1_ASM2280780v1			na	Pseudomonas aeruginosa	NZ_JAFLHV010000002.1	Pseudomonas aeruginosa strain Pae_AZ07 Pae_AZ07_NODE_102, whole genome shotgun sequence	GCF_022807805.1_ASM2280780v1_genomic.fna.gz 	GCF_022807805.1	3	4	GCF_022/GCF_022807805.1_ASM2280780v1_genomic.h5	5779
Acinetobacter sp. NIPH1876	NIPH1876	Patric (diseases)		2924041.0	Acinetobacter sp. NIPH1876	GCA_022808535.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/808/535/GCA_022808535.1_ASM2280853v1	Pathogenic	GCF_022808535.1	PRJNA224116	SAMN26509223	JALGBR000000000.1	na	2924041	2924041	Acinetobacter sp. NIPH1876	strain=NIPH1876		latest	Contig	Major	Full	2022/04/02	ASM2280853v1	UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO-CCG	GCA_022808535.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/808/535/GCF_022808535.1_ASM2280853v1			na	Acinetobacter sp.	NZ_JALGBR010000001.1	Acinetobacter sp. NIPH1876 NIPH1876_contig_0, whole genome shotgun sequence	GCF_022808535.1_ASM2280853v1_genomic.fna.gz 	GCF_022808535.1	8741	1	GCF_022/GCF_022808535.1_ASM2280853v1_genomic.h5	4034
Staphylococcus warneri	NJ1	Patric (diseases)		1292.0	S. warneri	GCA_022815285.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/815/285/GCA_022815285.1_ASM2281528v1	Pathogenic	GCF_022815285.1	PRJNA224116	SAMN27067998	JALGYS000000000.1	na	1292	1292	Staphylococcus warneri	strain=NJ1		latest	Contig	Major	Full	2022/04/04	ASM2281528v1	Nanjing Agricultural University	GCA_022815285.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/815/285/GCF_022815285.1_ASM2281528v1			na	Staphylococcus warneri	NZ_JALGYS010000001.1	Staphylococcus warneri strain NJ1 1, whole genome shotgun sequence	GCF_022815285.1_ASM2281528v1_genomic.fna.gz 	GCF_022815285.1	259	4	GCF_022/GCF_022815285.1_ASM2281528v1_genomic.h5	2388
Staphylococcus sp. NRL 19/737	NRL 19/737	Patric (diseases)		2930130.0	Staphylococcus sp. NRL 19/737	GCA_022815865.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/815/865/GCA_022815865.1_ASM2281586v1	Pathogenic	GCF_022815865.1	PRJNA224116	SAMN25296429	JALGRI000000000.1	na	2930130	2930130	Staphylococcus sp. NRL 19/737	strain=NRL 19/737		latest	Contig	Major	Full	2022/04/04	ASM2281586v1	Masaryk University	GCA_022815865.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/815/865/GCF_022815865.1_ASM2281586v1			na	Staphylococcus sp.	NZ_JALGRI010000001.1	Staphylococcus sp. NRL 19/737 cluster_001, whole genome shotgun sequence	GCF_022815865.1_ASM2281586v1_genomic.fna.gz 	GCF_022815865.1	1466	1	GCF_022/GCF_022815865.1_ASM2281586v1_genomic.h5	2560
Escherichia coli	JNE101081	ENA, NCBI	ENADB, NCBIPathogenDBB	562.0	E. coli	GCA_022833325.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/833/325/GCA_022833325.1_ASM2283332v1	Pathogenic	GCF_022833325.1	PRJNA224116	SAMD00244533	BNCS00000000.1	na	562	562	Escherichia coli	strain=JNE101081		latest	Contig	Major	Full	2022/03/11	ASM2283332v1	Department of Bacteriology, National Institute of Infectious Diseases	GCA_022833325.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/833/325/GCF_022833325.1_ASM2283332v1			na	Escherichia coli	NZ_BNCS01000001.1	Escherichia coli strain JNE101081 JNE101081_contig001, whole genome shotgun sequence	GCF_022833325.1_ASM2283332v1_genomic.fna.gz 	GCF_022833325.1	9	5	GCF_022/GCF_022833325.1_ASM2283332v1_genomic.h5	4815
Escherichia coli	JNE180342	ENA, NCBI	ENADB, NCBIPathogenDBB	562.0	E. coli	GCA_022833465.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/833/465/GCA_022833465.1_ASM2283346v1	Pathogenic	GCF_022833465.1	PRJNA224116	SAMD00244540	BNCZ00000000.1	na	562	562	Escherichia coli	strain=JNE180342		latest	Contig	Major	Full	2022/03/11	ASM2283346v1	Department of Bacteriology, National Institute of Infectious Diseases	GCA_022833465.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/833/465/GCF_022833465.1_ASM2283346v1			na	Escherichia coli	NZ_BNCZ01000001.1	Escherichia coli strain JNE180342 JNE180342_contig001, whole genome shotgun sequence	GCF_022833465.1_ASM2283346v1_genomic.fna.gz 	GCF_022833465.1	9	5	GCF_022/GCF_022833465.1_ASM2283346v1_genomic.h5	5036
Escherichia coli	JNE191031	ENA, NCBI	ENADB, NCBIPathogenDBB	562.0	E. coli	GCA_022833545.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/833/545/GCA_022833545.1_ASM2283354v1	Pathogenic	GCF_022833545.1	PRJNA224116	SAMD00244544	BNDD00000000.1	na	562	562	Escherichia coli	strain=JNE191031		latest	Contig	Major	Full	2022/03/11	ASM2283354v1	Department of Bacteriology, National Institute of Infectious Diseases	GCA_022833545.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/833/545/GCF_022833545.1_ASM2283354v1			na	Escherichia coli	NZ_BNDD01000001.1	Escherichia coli strain JNE191031 JNE191031_contig001, whole genome shotgun sequence	GCF_022833545.1_ASM2283354v1_genomic.fna.gz 	GCF_022833545.1	9	5	GCF_022/GCF_022833545.1_ASM2283354v1_genomic.h5	4768
Escherichia coli	JNE192333	ENA, NCBI	ENADB, NCBIPathogenDBB	562.0	E. coli	GCA_022833585.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/833/585/GCA_022833585.1_ASM2283358v1	Pathogenic	GCF_022833585.1	PRJNA224116	SAMD00244546	BNDF00000000.1	na	562	562	Escherichia coli	strain=JNE192333		latest	Contig	Major	Full	2022/03/11	ASM2283358v1	Department of Bacteriology, National Institute of Infectious Diseases	GCA_022833585.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/833/585/GCF_022833585.1_ASM2283358v1			na	Escherichia coli	NZ_BNDF01000001.1	Escherichia coli strain JNE192333 JNE192333_contig001, whole genome shotgun sequence	GCF_022833585.1_ASM2283358v1_genomic.fna.gz 	GCF_022833585.1	9	5	GCF_022/GCF_022833585.1_ASM2283358v1_genomic.h5	4904
